"Infection","age","year","Species"
13.4,"55-64",2012,"Salmonella"
11.5,"55-64",2013,"Salmonella"
12.7,"55-64",2014,"Salmonella"
13.6,"55-64",2015,"Salmonella"
13.8,"55-64",2016,"Salmonella"
12.6,"55-64",2017,"Salmonella"
13.1,"65-74",2008,"Salmonella"
13.1,"65-74",2009,"Salmonella"
17.6,"65-74",2010,"Salmonella"
16.2,"65-74",2011,"Salmonella"
16.2,"65-74",2012,"Salmonella"
13.5,"65-74",2013,"Salmonella"
14,"65-74",2014,"Salmonella"
15.1,"65-74",2015,"Salmonella"
15.7,"65-74",2016,"Salmonella"
14.9,"65-74",2017,"Salmonella"
15.3,"75-84",2008,"Salmonella"
15.2,"75-84",2009,"Salmonella"
17.5,"75-84",2010,"Salmonella"
16.3,"75-84",2011,"Salmonella"
18.3,"75-84",2012,"Salmonella"
16.4,"75-84",2013,"Salmonella"
17.6,"75-84",2014,"Salmonella"
17,"75-84",2015,"Salmonella"
17.1,"75-84",2016,"Salmonella"
16.4,"75-84",2017,"Salmonella"
14.5,"85+",2008,"Salmonella"
14.2,"85+",2009,"Salmonella"
16.8,"85+",2010,"Salmonella"
14.9,"85+",2011,"Salmonella"
13.8,"85+",2012,"Salmonella"
13.4,"85+",2013,"Salmonella"
16,"85+",2014,"Salmonella"
14.1,"85+",2015,"Salmonella"
13.4,"85+",2016,"Salmonella"
16,"85+",2017,"Salmonella"
