"time","count","year"
20080717,1,2008
20080718,8,2008
20080719,3,2008
20080720,11,2008
20080721,9,2008
20080722,5,2008
20080723,2,2008
20080725,3,2008
20080726,1,2008
20080727,5,2008
20080728,6,2008
20080729,4,2008
20080730,7,2008
20080731,6,2008
20080801,33,2008
20080802,4,2008
20080803,2,2008
20080804,3,2008
20080805,1,2008
20080806,7,2008
20080807,5,2008
20080808,3,2008
20080809,5,2008
20080810,3,2008
20080811,6,2008
20080812,9,2008
20080813,6,2008
20080814,3,2008
20080815,15,2008
20080816,6,2008
20080817,6,2008
20080818,2,2008
20080819,5,2008
20080820,4,2008
20080821,3,2008
20080822,6,2008
20080823,4,2008
20080824,13,2008
20080825,6,2008
20080826,7,2008
20080827,2,2008
20080828,6,2008
20080829,6,2008
20080830,3,2008
20080831,1,2008
20080901,28,2008
20080903,3,2008
20080904,4,2008
20080905,5,2008
20080906,6,2008
20080907,4,2008
20080908,5,2008
20080909,3,2008
20080910,1,2008
20080911,2,2008
20080912,10,2008
20080913,4,2008
20080914,3,2008
20080915,10,2008
20080916,5,2008
20080917,6,2008
20080918,6,2008
20080919,5,2008
20080920,4,2008
20080921,9,2008
20080922,3,2008
20080923,4,2008
20080924,3,2008
20080925,11,2008
20080926,5,2008
20080927,3,2008
20080929,9,2008
20080930,6,2008
20081001,23,2008
20081002,4,2008
20081003,6,2008
20081004,1,2008
20081005,6,2008
20081006,6,2008
20081007,5,2008
20081008,11,2008
20081009,3,2008
20081010,3,2008
20081011,8,2008
20081012,4,2008
20081013,4,2008
20081014,5,2008
20081015,4,2008
20081016,2,2008
20081017,1,2008
20081018,3,2008
20081019,7,2008
20081020,5,2008
20081021,1,2008
20081022,7,2008
20081023,4,2008
20081024,3,2008
20081025,3,2008
20081026,4,2008
20081027,9,2008
20081028,2,2008
20081029,3,2008
20081030,4,2008
20081031,3,2008
20081101,33,2008
20081102,3,2008
20081103,5,2008
20081104,7,2008
20081105,3,2008
20081106,5,2008
20081107,2,2008
20081108,13,2008
20081109,1,2008
20081110,13,2008
20081111,9,2008
20081112,3,2008
20081113,2,2008
20081114,5,2008
20081115,8,2008
20081116,4,2008
20081117,4,2008
20081118,3,2008
20081119,8,2008
20081120,1,2008
20081121,3,2008
20081122,3,2008
20081123,6,2008
20081124,2,2008
20081125,9,2008
20081126,3,2008
20081127,5,2008
20081128,4,2008
20081129,4,2008
20081130,1,2008
20081201,20,2008
20081202,8,2008
20081203,11,2008
20081204,10,2008
20081205,6,2008
20081206,5,2008
20081207,2,2008
20081208,7,2008
20081209,3,2008
20081210,9,2008
20081211,5,2008
20081212,13,2008
20081213,4,2008
20081214,8,2008
20081215,14,2008
20081216,1,2008
20081217,6,2008
20081218,11,2008
20081219,5,2008
20081220,1,2008
20081221,4,2008
20081222,5,2008
20081223,7,2008
20081224,5,2008
20081225,4,2008
20081226,12,2008
20081227,8,2008
20081228,6,2008
20081229,10,2008
20081230,7,2008
20081231,7,2008
20090101,99,2009
20090102,8,2009
20090103,4,2009
20090104,6,2009
20090105,16,2009
20090106,13,2009
20090107,18,2009
20090108,11,2009
20090109,15,2009
20090110,8,2009
20090111,22,2009
20090112,31,2009
20090113,12,2009
20090114,24,2009
20090115,19,2009
20090116,28,2009
20090117,14,2009
20090118,33,2009
20090119,20,2009
20090120,24,2009
20090121,16,2009
20090122,11,2009
20090123,12,2009
20090124,11,2009
20090125,16,2009
20090126,11,2009
20090127,18,2009
20090128,13,2009
20090129,11,2009
20090130,11,2009
20090131,11,2009
20090201,35,2009
20090202,11,2009
20090203,10,2009
20090204,16,2009
20090205,7,2009
20090206,13,2009
20090207,11,2009
20090208,11,2009
20090209,11,2009
20090210,8,2009
20090211,8,2009
20090212,2,2009
20090213,13,2009
20090214,14,2009
20090215,10,2009
20090216,4,2009
20090217,5,2009
20090218,12,2009
20090219,13,2009
20090220,7,2009
20090221,11,2009
20090222,9,2009
20090223,17,2009
20090224,6,2009
20090225,7,2009
20090226,4,2009
20090227,7,2009
20090228,9,2009
20090301,37,2009
20090302,14,2009
20090303,15,2009
20090304,10,2009
20090305,11,2009
20090306,9,2009
20090307,9,2009
20090308,6,2009
20090309,11,2009
20090310,16,2009
20090311,7,2009
20090312,7,2009
20090313,9,2009
20090314,6,2009
20090315,15,2009
20090316,11,2009
20090317,17,2009
20090318,14,2009
20090319,12,2009
20090320,11,2009
20090321,14,2009
20090322,13,2009
20090323,12,2009
20090324,15,2009
20090325,22,2009
20090326,18,2009
20090327,20,2009
20090328,16,2009
20090329,22,2009
20090330,19,2009
20090331,18,2009
20090401,36,2009
20090402,10,2009
20090403,11,2009
20090404,5,2009
20090405,8,2009
20090406,16,2009
20090407,12,2009
20090408,10,2009
20090409,7,2009
20090410,8,2009
20090411,3,2009
20090412,20,2009
20090413,8,2009
20090414,11,2009
20090415,13,2009
20090416,7,2009
20090417,7,2009
20090418,3,2009
20090419,3,2009
20090420,13,2009
20090421,12,2009
20090422,11,2009
20090423,11,2009
20090424,15,2009
20090425,11,2009
20090426,12,2009
20090427,7,2009
20090428,10,2009
20090429,10,2009
20090430,14,2009
20090501,38,2009
20090502,9,2009
20090503,8,2009
20090504,13,2009
20090505,10,2009
20090506,5,2009
20090507,4,2009
20090508,9,2009
20090509,5,2009
20090510,6,2009
20090511,6,2009
20090512,3,2009
20090513,6,2009
20090514,3,2009
20090515,5,2009
20090516,7,2009
20090517,3,2009
20090518,9,2009
20090519,4,2009
20090520,6,2009
20090521,5,2009
20090522,6,2009
20090523,8,2009
20090524,8,2009
20090525,5,2009
20090526,4,2009
20090527,3,2009
20090528,4,2009
20090529,9,2009
20090530,5,2009
20090531,4,2009
20090601,24,2009
20090602,10,2009
20090603,10,2009
20090604,6,2009
20090605,8,2009
20090606,3,2009
20090607,6,2009
20090608,6,2009
20090609,10,2009
20090610,9,2009
20090611,6,2009
20090612,4,2009
20090613,6,2009
20090614,2,2009
20090615,10,2009
20090616,8,2009
20090617,2,2009
20090618,7,2009
20090619,6,2009
20090620,8,2009
20090621,13,2009
20090622,7,2009
20090623,8,2009
20090624,6,2009
20090625,2,2009
20090626,7,2009
20090627,3,2009
20090628,5,2009
20090629,10,2009
20090630,2,2009
20090701,27,2009
20090702,4,2009
20090703,9,2009
20090704,9,2009
20090705,8,2009
20090706,7,2009
20090707,6,2009
20090708,1,2009
20090709,2,2009
20090710,5,2009
20090711,6,2009
20090712,3,2009
20090713,10,2009
20090714,4,2009
20090715,5,2009
20090716,8,2009
20090717,7,2009
20090718,4,2009
20090719,3,2009
20090720,6,2009
20090721,7,2009
20090722,5,2009
20090723,5,2009
20090724,6,2009
20090725,3,2009
20090726,6,2009
20090727,6,2009
20090728,6,2009
20090729,3,2009
20090730,3,2009
20090731,6,2009
20090801,17,2009
20090802,8,2009
20090803,3,2009
20090804,10,2009
20090805,8,2009
20090806,8,2009
20090807,9,2009
20090808,8,2009
20090809,3,2009
20090810,2,2009
20090811,2,2009
20090812,2,2009
20090813,9,2009
20090814,2,2009
20090815,12,2009
20090816,3,2009
20090817,3,2009
20090818,7,2009
20090819,3,2009
20090820,7,2009
20090821,4,2009
20090822,4,2009
20090823,3,2009
20090824,4,2009
20090825,10,2009
20090826,5,2009
20090827,6,2009
20090828,4,2009
20090829,1,2009
20090830,3,2009
20090831,6,2009
20090901,19,2009
20090902,5,2009
20090903,3,2009
20090904,4,2009
20090905,2,2009
20090906,4,2009
20090907,8,2009
20090908,6,2009
20090909,1,2009
20090910,6,2009
20090911,4,2009
20090912,10,2009
20090913,5,2009
20090914,5,2009
20090915,10,2009
20090916,11,2009
20090917,8,2009
20090918,6,2009
20090919,9,2009
20090920,4,2009
20090921,6,2009
20090922,6,2009
20090923,3,2009
20090924,6,2009
20090925,3,2009
20090926,7,2009
20090927,6,2009
20090928,7,2009
20090929,9,2009
20090930,6,2009
20091001,28,2009
20091002,3,2009
20091003,2,2009
20091004,3,2009
20091005,7,2009
20091006,3,2009
20091007,3,2009
20091008,5,2009
20091009,3,2009
20091010,8,2009
20091011,2,2009
20091012,12,2009
20091013,4,2009
20091014,1,2009
20091015,2,2009
20091016,4,2009
20091017,4,2009
20091018,2,2009
20091019,5,2009
20091020,9,2009
20091021,6,2009
20091022,3,2009
20091023,10,2009
20091024,4,2009
20091025,5,2009
20091026,6,2009
20091027,5,2009
20091028,8,2009
20091029,1,2009
20091030,4,2009
20091031,7,2009
20091101,22,2009
20091102,3,2009
20091103,3,2009
20091104,4,2009
20091105,11,2009
20091106,5,2009
20091107,3,2009
20091108,7,2009
20091109,4,2009
20091110,2,2009
20091111,4,2009
20091112,2,2009
20091113,5,2009
20091114,11,2009
20091115,13,2009
20091116,7,2009
20091117,6,2009
20091118,8,2009
20091119,3,2009
20091120,6,2009
20091121,4,2009
20091122,5,2009
20091123,5,2009
20091124,2,2009
20091125,2,2009
20091126,4,2009
20091127,2,2009
20091128,6,2009
20091129,3,2009
20091130,9,2009
20091201,20,2009
20091202,8,2009
20091203,2,2009
20091204,6,2009
20091205,1,2009
20091206,4,2009
20091207,2,2009
20091208,5,2009
20091209,5,2009
20091210,6,2009
20091211,10,2009
20091212,6,2009
20091213,3,2009
20091214,10,2009
20091215,9,2009
20091216,6,2009
20091217,4,2009
20091218,5,2009
20091219,3,2009
20091220,7,2009
20091221,9,2009
20091222,10,2009
20091223,6,2009
20091224,7,2009
20091225,5,2009
20091226,11,2009
20091227,1,2009
20091228,6,2009
20091229,2,2009
20091230,7,2009
20091231,4,2009
20100101,136,2010
20100102,1,2010
20100103,5,2010
20100104,10,2010
20100105,7,2010
20100106,8,2010
20100107,3,2010
20100108,5,2010
20100109,3,2010
20100110,7,2010
20100111,10,2010
20100112,9,2010
20100113,4,2010
20100114,7,2010
20100115,9,2010
20100116,4,2010
20100117,1,2010
20100118,5,2010
20100119,1,2010
20100120,6,2010
20100121,12,2010
20100122,6,2010
20100123,2,2010
20100124,4,2010
20100125,7,2010
20100126,11,2010
20100127,6,2010
20100128,4,2010
20100129,6,2010
20100130,5,2010
20100131,4,2010
20100201,32,2010
20100202,7,2010
20100203,7,2010
20100204,7,2010
20100205,8,2010
20100206,2,2010
20100207,8,2010
20100208,4,2010
20100209,7,2010
20100210,7,2010
20100211,7,2010
20100212,4,2010
20100213,2,2010
20100214,13,2010
20100215,4,2010
20100216,5,2010
20100217,5,2010
20100218,6,2010
20100219,9,2010
20100220,6,2010
20100221,6,2010
20100222,5,2010
20100223,2,2010
20100224,4,2010
20100225,5,2010
20100226,10,2010
20100227,2,2010
20100228,7,2010
20100301,32,2010
20100302,15,2010
20100303,5,2010
20100304,6,2010
20100305,8,2010
20100306,4,2010
20100307,8,2010
20100308,14,2010
20100309,5,2010
20100310,12,2010
20100311,9,2010
20100312,5,2010
20100313,7,2010
20100314,8,2010
20100315,6,2010
20100316,8,2010
20100317,7,2010
20100318,9,2010
20100319,5,2010
20100320,12,2010
20100321,2,2010
20100322,4,2010
20100323,5,2010
20100324,8,2010
20100325,5,2010
20100326,4,2010
20100327,8,2010
20100328,7,2010
20100329,3,2010
20100330,6,2010
20100331,6,2010
20100401,22,2010
20100402,7,2010
20100403,3,2010
20100404,10,2010
20100405,8,2010
20100406,6,2010
20100407,7,2010
20100408,7,2010
20100409,2,2010
20100410,6,2010
20100411,2,2010
20100412,13,2010
20100413,6,2010
20100414,6,2010
20100415,11,2010
20100416,3,2010
20100417,2,2010
20100418,1,2010
20100419,11,2010
20100420,4,2010
20100421,7,2010
20100422,6,2010
20100423,4,2010
20100424,5,2010
20100425,8,2010
20100426,15,2010
20100427,7,2010
20100428,8,2010
20100429,7,2010
20100430,13,2010
20100501,20,2010
20100502,3,2010
20100503,5,2010
20100504,8,2010
20100505,7,2010
20100506,7,2010
20100507,8,2010
20100508,4,2010
20100509,8,2010
20100510,10,2010
20100511,8,2010
20100512,8,2010
20100513,7,2010
20100514,5,2010
20100515,9,2010
20100516,3,2010
20100517,12,2010
20100518,3,2010
20100519,10,2010
20100520,4,2010
20100521,8,2010
20100522,2,2010
20100523,2,2010
20100524,6,2010
20100525,6,2010
20100526,3,2010
20100527,6,2010
20100528,3,2010
20100529,5,2010
20100530,9,2010
20100531,4,2010
20100601,35,2010
20100602,3,2010
20100603,10,2010
20100604,7,2010
20100605,1,2010
20100606,3,2010
20100607,9,2010
20100608,3,2010
20100609,4,2010
20100610,2,2010
20100611,12,2010
20100612,4,2010
20100613,2,2010
20100614,6,2010
20100615,8,2010
20100616,4,2010
20100617,1,2010
20100618,6,2010
20100619,7,2010
20100620,4,2010
20100621,14,2010
20100622,4,2010
20100623,7,2010
20100624,6,2010
20100625,11,2010
20100626,1,2010
20100627,2,2010
20100628,6,2010
20100629,6,2010
20100630,4,2010
20100701,31,2010
20100702,6,2010
20100703,5,2010
20100704,5,2010
20100705,4,2010
20100706,7,2010
20100707,16,2010
20100708,3,2010
20100709,5,2010
20100710,7,2010
20100711,5,2010
20100712,9,2010
20100713,4,2010
20100714,1,2010
20100715,10,2010
20100716,12,2010
20100717,6,2010
20100718,5,2010
20100719,5,2010
20100720,8,2010
20100721,2,2010
20100722,3,2010
20100723,7,2010
20100724,3,2010
20100725,6,2010
20100726,9,2010
20100727,7,2010
20100728,6,2010
20100729,6,2010
20100730,4,2010
20100731,3,2010
20100801,30,2010
20100802,7,2010
20100803,7,2010
20100804,11,2010
20100805,5,2010
20100806,6,2010
20100807,12,2010
20100808,5,2010
20100809,9,2010
20100810,7,2010
20100811,10,2010
20100812,9,2010
20100813,11,2010
20100814,9,2010
20100815,7,2010
20100816,15,2010
20100817,9,2010
20100818,13,2010
20100819,9,2010
20100820,12,2010
20100821,5,2010
20100822,9,2010
20100823,7,2010
20100824,6,2010
20100825,4,2010
20100826,6,2010
20100827,12,2010
20100828,5,2010
20100829,12,2010
20100830,9,2010
20100831,15,2010
20100901,39,2010
20100902,2,2010
20100903,10,2010
20100904,6,2010
20100905,9,2010
20100906,8,2010
20100907,9,2010
20100908,10,2010
20100909,7,2010
20100910,9,2010
20100911,9,2010
20100912,7,2010
20100913,8,2010
20100914,7,2010
20100915,14,2010
20100916,5,2010
20100917,6,2010
20100918,8,2010
20100919,3,2010
20100920,5,2010
20100921,3,2010
20100922,8,2010
20100923,8,2010
20100924,6,2010
20100925,7,2010
20100926,5,2010
20100927,7,2010
20100928,4,2010
20100929,3,2010
20100930,10,2010
20101001,23,2010
20101002,16,2010
20101003,4,2010
20101004,7,2010
20101005,8,2010
20101006,4,2010
20101007,9,2010
20101008,7,2010
20101009,6,2010
20101010,9,2010
20101011,1,2010
20101012,7,2010
20101013,6,2010
20101014,15,2010
20101015,4,2010
20101016,2,2010
20101017,6,2010
20101018,8,2010
20101019,7,2010
20101020,10,2010
20101021,8,2010
20101022,5,2010
20101023,6,2010
20101024,9,2010
20101025,2,2010
20101026,4,2010
20101027,5,2010
20101028,5,2010
20101029,3,2010
20101030,3,2010
20101031,5,2010
20101101,33,2010
20101102,6,2010
