"Year","Month","State","Illnesses","setting_new","Etiology_new"
2009,11,"Wisconsin",49,"caterer","Other"
2009,7,"Florida",4,"private residence","Other"
2009,5,"Florida",14,"restaurant","Norovirus"
2009,5,"Florida",14,"restaurant","Salmonella"
2009,8,"California",12,"private residence","Campylobacter"
2009,12,"California",19,"other","Norovirus"
2010,1,"Illinois",9,"restaurant","Norovirus"
2009,12,"North Dakota",24,"caterer","Norovirus"
2010,1,"Tennessee",13,"other","Norovirus"
2009,11,"Colorado",34,"restaurant","Norovirus"
2009,8,"Colorado",27,"caterer","Salmonella"
2010,1,"Illinois",9,"restaurant","Norovirus"
2010,1,"Maryland",5,"restaurant","Norovirus"
2009,10,"Nevada",17,"restaurant","Other"
2009,2,"Nevada",11,"restaurant","Salmonella"
2010,1,"New York",16,"restaurant","Norovirus"
2010,1,"New York",20,"other","Campylobacter"
2009,11,"South Carolina",6,"private residence","Norovirus"
2010,1,"Connecticut",36,"restaurant","Norovirus"
2010,1,"Connecticut",8,"restaurant","Norovirus"
2010,1,"Minnesota",10,"restaurant","Norovirus"
2010,1,"Minnesota",7,"restaurant","Norovirus"
2010,1,"Minnesota",6,"restaurant","Norovirus"
2010,1,"Minnesota",17,"restaurant","Other"
2010,1,"Tennessee",10,"restaurant","Norovirus"
2009,6,"Maryland",9,"restaurant","Salmonella"
2010,1,"Kansas",2,"restaurant","Norovirus"
2009,11,"Pennsylvania",3,"private residence","Other"
2010,1,"Connecticut",8,"restaurant","Norovirus"
2010,1,"Minnesota",4,"restaurant","Norovirus"
2009,4,"Arizona",30,"caterer","Norovirus"
2009,12,"Ohio",21,"restaurant","Norovirus"
2010,2,"Minnesota",14,"restaurant","Norovirus"
2010,1,"Ohio",8,"restaurant","Norovirus"
2010,1,"New York",35,"private residence","Norovirus"
2010,1,"New York",30,"restaurant","Norovirus"
2009,12,"Oregon",4,"restaurant","Norovirus"
2010,1,"Oregon",18,"restaurant","Norovirus"
2009,12,"Ohio",3,"restaurant","Norovirus"
2010,1,"Florida",17,"caterer","Other"
2010,1,"Florida",4,"restaurant","Norovirus"
2010,1,"Florida",19,"restaurant","Norovirus"
2010,1,"Illinois",20,"private residence","Norovirus"
2009,12,"Alabama",10,"restaurant","Norovirus"
2010,1,"Florida",3,"restaurant","Norovirus"
2010,2,"Minnesota",4,"restaurant","Norovirus"
2010,2,"Minnesota",25,"school","Norovirus"
2010,2,"Illinois",28,"restaurant","Norovirus"
2009,12,"West Virginia",6,"private residence","Salmonella"
2009,10,"Colorado",4,"restaurant","Other"
2010,2,"Wisconsin",44,"school","Norovirus"
2010,2,"Colorado",2,"restaurant","Campylobacter"
2010,2,"Illinois",2,"restaurant","Salmonella"
2009,7,"California",44,"caterer","Other"
2009,11,"California",20,"restaurant","Other"
2009,12,"California",14,"caterer","Norovirus"
2009,12,"California",14,"caterer","Norovirus"
2010,2,"Minnesota",7,"restaurant","Norovirus"
2009,9,"Washington",4,"restaurant","Norovirus"
2009,6,"Washington",4,"restaurant","Norovirus"
2009,7,"Washington",15,"caterer","Other"
2010,2,"Tennessee",7,"restaurant","Norovirus"
2010,2,"Tennessee",3,"private residence","Escherichia"
2010,2,"Tennessee",4,"restaurant","Norovirus"
2010,2,"Tennessee",18,"restaurant","Norovirus"
2010,1,"Florida",15,"restaurant","Norovirus"
2009,9,"Washington",3,"restaurant","Other"
2010,2,"New York",8,"restaurant","Norovirus"
2009,8,"Washington",2,"restaurant","Salmonella"
2010,2,"Illinois",20,"restaurant","Norovirus"
2009,6,"Puerto Rico",18,"caterer","Other"
2009,7,"Washington",17,"restaurant","Salmonella"
2009,3,"Washington",6,"restaurant","Other"
2009,9,"Washington",4,"restaurant","Escherichia"
2009,9,"Washington",2,"restaurant","Escherichia"
2009,10,"Washington",5,"restaurant","Salmonella"
2009,11,"Washington",10,"restaurant","Norovirus"
2010,2,"Connecticut",32,"office","Norovirus"
2010,2,"Connecticut",25,"restaurant","Norovirus"
2010,3,"Connecticut",16,"caterer","Norovirus"
2009,8,"Virginia",17,"caterer","Campylobacter"
2010,1,"Connecticut",9,"restaurant","Salmonella"
2010,1,"Missouri",48,"restaurant","Other"
2010,1,"California",5,"restaurant","Campylobacter"
2009,6,"California",19,"restaurant","Norovirus"
2009,4,"California",39,"restaurant","Norovirus"
2010,2,"Arizona",10,"restaurant","Norovirus"
2010,3,"Minnesota",16,"other","Norovirus"
2010,3,"Minnesota",6,"restaurant","Norovirus"
2009,4,"California",7,"restaurant","Other"
2009,2,"California",16,"school","Norovirus"
2009,6,"California",2,"restaurant","Norovirus"
2010,1,"Oregon",2,"restaurant","Salmonella"
2010,2,"Oregon",3,"restaurant","Salmonella"
2010,2,"Oregon",16,"restaurant","Norovirus"
2010,1,"Colorado",26,"restaurant","Norovirus"
2010,2,"Oregon",23,"restaurant","Norovirus"
2010,3,"Ohio",3,"restaurant","Norovirus"
2010,2,"Georgia",11,"private residence","Salmonella"
2010,3,"Oregon",7,"restaurant","Norovirus"
2010,1,"Colorado",3,"other","Campylobacter"
2010,2,"Oregon",16,"restaurant","Norovirus"
2009,7,"Arizona",6,"restaurant","Salmonella"
2009,9,"Ohio",22,"private residence","Salmonella"
2009,12,"Ohio",3,"private residence","Salmonella"
2010,1,"Ohio",24,"caterer","Norovirus"
2010,2,"Ohio",2,"other","Norovirus"
2010,2,"Ohio",3,"restaurant","Salmonella"
2009,12,"California",22,"restaurant","Salmonella"
2010,3,"Minnesota",10,"restaurant","Norovirus"
2010,3,"Virginia",7,"restaurant","Norovirus"
2010,3,"Oregon",14,"restaurant","Norovirus"
2010,2,"Oregon",11,"restaurant","Norovirus"
2010,3,"Virginia",20,"private residence","Other"
2010,3,"Missouri",11,"other","Salmonella"
2010,1,"Georgia",25,"other","Salmonella"
2010,3,"Oregon",10,"private residence","Norovirus"
2010,3,"Oregon",4,"restaurant","Norovirus"
2010,3,"Connecticut",21,"other","Other"
2010,3,"Connecticut",27,"restaurant","Norovirus"
2010,1,"Missouri",21,"restaurant","Norovirus"
2010,3,"Mississippi",11,"caterer","Norovirus"
2010,3,"Minnesota",19,"restaurant","Other"
2010,4,"Minnesota",17,"caterer","Norovirus"
2010,1,"California",11,"caterer","Norovirus"
2009,4,"California",2,"private residence","Other"
